stream_name,detector_rule,window_size,step_size,step_fraction,bins,binning,reference_mode,calibrated_threshold_used,drift_detected,first_detection_window,detection_delay,false_alarm_count_before_drift,true_detection_after_drift,max_kl,min_ks_pvalue,max_js,max_wasserstein,n_windows,n_records,constant_confidence_warning
class_prior_gradual,Ensemble_majority,50,25,0.5,10,equal_width,rolling,True,True,0,-26,2,True,2.028862,0.271914,0.064416,0.146201,78,2000,False
class_prior_gradual,KL_only,50,25,0.5,10,equal_width,multi_reference,True,True,0,-26,9,True,3.930221,2.4e-05,0.105473,0.267184,78,2000,False
class_prior_gradual,KS_only,50,25,0.5,10,equal_width,multi_reference,True,True,20,-6,2,True,3.930221,2.4e-05,0.105473,0.267184,78,2000,False
class_prior_gradual,KL_AND_KS,50,25,0.5,10,equal_width,multi_reference,True,True,26,0,0,True,3.930221,2.4e-05,0.105473,0.267184,78,2000,False
class_prior_gradual,JS_only,50,25,0.5,10,equal_width,multi_reference,True,True,0,-26,5,True,3.930221,2.4e-05,0.105473,0.267184,78,2000,False
class_prior_gradual,Wasserstein_only,50,25,0.5,10,equal_width,multi_reference,True,True,0,-26,8,True,3.930221,2.4e-05,0.105473,0.267184,78,2000,False
class_prior_gradual,Ensemble_majority,50,25,0.5,10,equal_width,multi_reference,True,True,0,-26,8,True,3.930221,2.4e-05,0.105473,0.267184,78,2000,False
class_prior_gradual,KL_only,50,25,0.5,10,equal_width,adaptive_clean,True,True,0,-26,12,True,3.464949,0.067795,0.082517,0.167112,78,2000,False
class_prior_gradual,KS_only,50,25,0.5,10,equal_width,adaptive_clean,True,False,,,0,False,2.028862,0.271914,0.064416,0.146201,78,2000,False
class_prior_gradual,KL_AND_KS,50,25,0.5,10,equal_width,adaptive_clean,True,False,,,0,False,2.028862,0.271914,0.064416,0.146201,78,2000,False
class_prior_gradual,JS_only,50,25,0.5,10,equal_width,adaptive_clean,True,True,0,-26,19,True,3.66022,0.039195,0.146574,0.222463,78,2000,False
class_prior_gradual,Wasserstein_only,50,25,0.5,10,equal_width,adaptive_clean,True,True,0,-26,9,True,2.077573,0.039195,0.143768,0.226809,78,2000,False
class_prior_gradual,Ensemble_majority,50,25,0.5,10,equal_width,adaptive_clean,True,True,0,-26,5,True,3.224857,0.039195,0.146574,0.222463,78,2000,False
class_prior_gradual,KL_only,50,50,1.0,10,quantile,fixed_first,True,True,2,-11,4,True,4.195874,0.000246,0.136825,0.278828,39,2000,False
class_prior_gradual,KS_only,50,50,1.0,10,quantile,fixed_first,True,True,3,-10,1,True,4.195874,0.000246,0.136825,0.278828,39,2000,False
class_prior_gradual,KL_AND_KS,50,50,1.0,10,quantile,fixed_first,True,True,3,-10,1,True,4.195874,0.000246,0.136825,0.278828,39,2000,False
class_prior_gradual,JS_only,50,50,1.0,10,quantile,fixed_first,True,True,0,-13,9,True,4.195874,0.000246,0.136825,0.278828,39,2000,False
class_prior_gradual,Wasserstein_only,50,50,1.0,10,quantile,fixed_first,True,True,0,-13,5,True,4.195874,0.000246,0.136825,0.278828,39,2000,False
class_prior_gradual,Ensemble_majority,50,50,1.0,10,quantile,fixed_first,True,True,0,-13,8,True,4.195874,0.000246,0.136825,0.278828,39,2000,False
class_prior_gradual,KL_only,50,50,1.0,10,quantile,rolling,True,True,2,-11,4,True,4.120352,0.067795,0.14103,0.179348,39,2000,False
class_prior_gradual,KS_only,50,50,1.0,10,quantile,rolling,True,False,,,0,False,4.120352,0.067795,0.14103,0.179348,39,2000,False
class_prior_gradual,KL_AND_KS,50,50,1.0,10,quantile,rolling,True,False,,,0,False,4.120352,0.067795,0.14103,0.179348,39,2000,False
